City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Natal,BR,76.51,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
490,Emerald,AU,77.34,clear sky,-23.5333,148.1667,The Irish Village
491,Oeiras Do Para,BR,78.57,scattered clouds,-2.0031,-49.8544,Araticu Soft Hotel
498,Ixhuatan,MX,79.83,few clouds,16.3569,-94.4825,Hotel D' Ángel
501,Libreville,GA,78.82,light rain,0.3925,9.4537,Hotel Re-Ndama
506,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
510,Villanueva,HN,81.03,overcast clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
520,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
522,Jaffna,LK,82.45,overcast clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
523,Padang,ID,78.26,overcast clouds,-0.9492,100.3543,Mercure Padang
527,Dayong,CN,81.19,clear sky,25.0209,118.2898,Haiyue Express Hotel
528,Tripoli,LY,76.78,overcast clouds,32.8752,13.1875,Hotel Al-Safwa
540,Touros,BR,76.87,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
543,Galveston,US,80.56,few clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
545,Mahina,PF,83.97,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
556,Gwadar,PK,80.46,clear sky,25.1216,62.3254,Sadaf Resort
558,Pondicherry,IN,82.53,light rain,11.93,79.83,Villa Shanti for food lovers
559,Jiazi,CN,81.9,clear sky,22.8779,116.067,Hotel Jin Hao
561,Damaturu,NG,79.2,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
574,Les Cayes,HT,80.29,broken clouds,18.2,-73.75,Villa Orphee
578,Itarema,BR,78.91,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
580,Humaita,BR,78.28,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
582,Biltine,TD,82.78,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
594,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
595,Mogadishu,SO,77.79,scattered clouds,2.0371,45.3438,Hotel Juba
596,Fare,PF,79.56,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
597,Sola,VU,79.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
598,Bakel,SN,81.23,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
599,Hirara,JP,83.44,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
600,Samarai,PG,79.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
613,Shenjiamen,CN,78.42,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
621,Beibei,CN,76.37,overcast clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
628,Mahibadhoo,MV,79.92,overcast clouds,3.7833,72.9667,Omadhoo Inn
631,North Platte,US,80.38,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
633,Lazaro Cardenas,MX,81.34,overcast clouds,17.9583,-102.2,quinta antigua
641,Carauari,BR,77.31,broken clouds,-4.8828,-66.8958,Hotel Fellip
643,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
644,Aswan,EG,78.94,clear sky,24.0934,32.907,Nuba Nile
645,Maracaju,BR,79.18,clear sky,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
647,Puerto Narino,CO,79.56,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
648,Matara,LK,76.73,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
650,Khuzdar,PK,76.75,few clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
654,Cavalcante,BR,76.73,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
655,Anloga,GH,77.94,light rain,5.7947,0.8973,Pin Drop Hotel
671,Hobyo,SO,77.29,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
672,Bonthe,SL,76.87,light rain,7.5264,-12.505,Bonthe Holiday Village
676,Pemangkat,ID,78.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
683,Port Moresby,PG,83.73,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
685,Altamira,BR,77.81,overcast clouds,-3.2033,-52.2064,Requinte Hotel
