City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Bandarbeyla,SO,9.4942,50.8122,79.07,74,7,17.11,clear sky
255,Rafaela,AR,-31.2503,-61.4867,71.06,40,0,3.0,clear sky
256,Mahebourg,MU,-20.4081,57.7,70.09,88,75,19.57,light rain
257,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,0.0,few clouds
258,Kloulklubed,PW,7.0419,134.2556,86.5,75,58,10.11,broken clouds
259,Sinjar,IQ,36.3209,41.8754,70.47,17,6,6.02,clear sky
260,Algiers,DZ,36.7525,3.042,69.62,88,40,4.61,scattered clouds
261,Gol,NO,60.7014,8.9457,55.78,94,88,4.52,overcast clouds
262,Komsomolskiy,UZ,40.4272,71.7189,72.32,18,0,6.91,clear sky
263,Skegness,GB,53.1436,0.3363,60.58,91,87,16.22,overcast clouds
264,Waingapu,ID,-9.6567,120.2641,83.71,59,100,6.98,overcast clouds
265,Cacoal,BR,-11.4386,-61.4472,78.55,68,26,2.3,scattered clouds
266,Kyabram,AU,-36.3167,145.05,60.87,44,60,11.88,broken clouds
267,Cap Malheureux,MU,-19.9842,57.6142,70.29,90,58,13.0,light rain
268,Abbotsford,CA,49.058,-122.2526,57.65,97,90,1.01,moderate rain
269,Muros,ES,42.7762,-9.0603,67.23,82,100,18.61,overcast clouds
270,Ketchikan,US,55.3422,-131.6461,50.18,94,100,6.42,moderate rain
271,Buckeye,US,33.3703,-112.5838,73.02,82,100,0.0,haze
272,Karambakkudi,IN,10.4667,79.1333,79.2,79,100,4.56,overcast clouds
273,Talnakh,RU,69.4865,88.3972,33.87,49,100,7.52,overcast clouds
274,Bloomfield,US,40.8068,-74.1854,68.67,65,1,1.01,clear sky
275,Stonewall,CA,50.1344,-97.3268,60.48,54,100,7.16,overcast clouds
276,Grindavik,IS,63.8424,-22.4338,40.95,81,90,27.63,overcast clouds
277,Zanesville,US,39.9404,-82.0132,65.34,68,66,6.91,broken clouds
278,Lagoa Vermelha,BR,-28.2086,-51.5258,56.7,76,0,3.85,clear sky
279,Maku,IR,39.2911,44.4521,52.34,42,0,1.45,clear sky
280,Bulancak,TR,40.9372,38.2291,61.84,74,0,3.29,clear sky
281,Erie,US,42.7667,-78.6664,62.19,79,68,1.99,broken clouds
282,Maues,BR,-3.3836,-57.7186,76.37,84,61,1.03,heavy intensity rain
283,Sawakin,SD,19.1059,37.3321,85.12,53,28,3.11,scattered clouds
284,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,92,100,7.27,overcast clouds
285,Sur,OM,22.5667,59.5289,82.53,67,7,10.09,clear sky
286,Nizwa,OM,22.9333,57.5333,81.27,59,54,0.45,broken clouds
287,Constitucion,CL,-35.3333,-72.4167,49.96,79,22,10.74,few clouds
288,Evensk,RU,61.95,159.2333,43.74,49,9,4.03,clear sky
289,Courtenay,CA,49.6866,-124.9936,57.02,90,90,20.71,overcast clouds
290,Kahului,US,20.8947,-156.47,85.26,89,33,8.99,scattered clouds
291,Kavieng,PG,-2.5744,150.7967,83.86,72,39,8.99,scattered clouds
292,Tuni,IN,17.35,82.55,76.69,93,100,14.16,light rain
293,Camopi,GF,3.1655,-52.3158,74.7,84,100,3.33,overcast clouds
294,Kichera,RU,55.9375,110.0997,36.99,82,100,1.92,overcast clouds
295,Castro,BR,-24.7911,-50.0119,63.05,73,2,4.27,clear sky
296,Riyadh,SA,24.6877,46.7219,78.94,30,93,8.12,overcast clouds
297,Goderich,CA,43.7501,-81.7165,61.12,63,100,5.75,overcast clouds
298,Orchard Homes,US,46.8633,-114.0484,72.28,33,5,5.28,clear sky
299,Puerto Cabezas,NI,14.0351,-83.3888,79.43,89,98,8.21,overcast clouds
300,Aviles,ES,43.5547,-5.9248,66.72,89,90,1.01,overcast clouds
301,Chitral,PK,35.8462,71.7858,66.88,72,0,1.12,clear sky
302,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,88,7,16.11,clear sky
303,Gravelbourg,CA,49.8834,-106.5512,77.27,33,15,8.63,few clouds
304,Constantine,DZ,36.365,6.6147,71.01,88,0,3.44,clear sky
305,Caibarien,CU,22.5206,-79.4669,81.61,76,13,9.17,few clouds
306,Santa Isabel,BR,-23.3156,-46.2214,72.66,81,87,1.72,overcast clouds
307,Porto Novo,BJ,6.4965,2.6036,78.62,88,100,3.51,overcast clouds
308,Najran,SA,17.4924,44.1277,75.85,22,0,4.32,clear sky
309,Namibe,AO,-15.1961,12.1522,61.93,90,33,3.22,scattered clouds
310,Pangnirtung,CA,66.1451,-65.7125,32.14,77,18,2.46,few clouds
311,Bhigvan,IN,18.3167,74.7667,74.08,88,100,10.67,overcast clouds
312,Kabwe,ZM,-14.4469,28.4464,69.3,37,10,7.14,clear sky
313,Margate,GB,51.3813,1.3862,62.31,98,67,12.08,broken clouds
314,Tambun,ID,-6.2641,107.0712,88.47,83,44,3.44,haze
315,Nara,JP,34.6851,135.8049,75.49,48,45,7.52,scattered clouds
316,Quatre Cocos,MU,-20.2078,57.7625,69.91,82,61,21.16,light rain
317,Price,US,39.5994,-110.8107,75.42,26,98,4.63,overcast clouds
318,Mugur-Aksy,RU,50.35,90.5,20.48,58,10,6.58,clear sky
319,Grand Gaube,MU,-20.0064,57.6608,70.2,90,52,11.99,light rain
320,Tarragona,ES,41.129,1.249,70.05,73,98,3.44,overcast clouds
321,Chokurdakh,RU,70.6333,147.9167,27.14,88,100,19.39,light snow
322,Roma,US,43.2128,-75.4557,61.84,76,33,1.01,scattered clouds
323,Velyka Bilozerka,UA,47.2776,34.7062,51.04,73,2,7.36,clear sky
324,Colares,PT,38.7992,-9.4469,65.39,77,100,1.01,overcast clouds
325,Svetlogorsk,BY,52.6333,29.7333,41.31,95,0,6.38,clear sky
326,Zangakatun,AM,39.8212,45.0406,42.19,41,0,3.76,clear sky
327,Asau,RO,46.4333,26.4,56.32,89,1,2.01,light rain
328,Uyuni,BO,-20.4597,-66.825,50.41,11,0,5.41,clear sky
329,Pomabamba,PE,-8.8333,-77.4667,54.23,67,53,7.56,broken clouds
330,Iguape,BR,-24.7081,-47.5553,67.12,92,1,1.83,clear sky
331,Kavaratti,IN,10.5669,72.642,81.25,79,100,24.38,moderate rain
332,Bichena,ET,10.45,38.2,48.81,82,0,3.56,clear sky
333,Aksu,CN,41.1231,80.2644,62.13,29,0,0.43,clear sky
334,Caledon East,CA,43.8691,-79.8669,60.85,67,95,7.65,overcast clouds
335,Kapuskasing,CA,49.4169,-82.4331,48.24,92,84,5.03,broken clouds
336,Bereda,ES,43.2686,-7.5406,64.0,86,100,9.44,overcast clouds
